content,score,sentiment,sentiment_label
আমার প্রোফাইল এ পোস্ট অপশন এর জায়গায় ফ্রেন্ড অপশন দেখাচ্ছে। কিন্তু আমি আগের মতই পোস্ট অপশন টা ফিরে পেতে চাই ।,1,0.0,Neutral
plzzz open my Instagram,5,0.0,Neutral
good,5,0.7,Positive
so good,5,0.7,Positive
"what's with the screen that comes up every time I press not interested on a video, it has a small x and undo on it ,",1,-0.1875,Negative
I love this which is very perfect,5,0.75,Positive
Horrible app,1,-1.0,Negative
It was good but now frustrated with this App 😤 Again And Again suspending and deleting my insta pages & Account without any clear reason no manual review available.,1,0.125,Positive
pretty cool,5,0.3,Positive
good to go,5,0.7,Positive
This is very amazing. I really love it... I like every thing of this app but when I installed this app I don't want to study more like in my prime time I distracted by this. That's why I rate it 4 out of 5. if you study well like in your prime so please don't install it if you install it then know that this app is the biggest distraction. THANK YOU. HAVE A NICE AND CHEERFUL DAY AND LIFE AHEAD. BIIIE 🤝👋👋,4,0.556,Positive
"I am extremely disappointed with Instagram for disabling my account without giving a clear reason or proper explanation. I have always tried to follow the Community Guidelines, yet my account was suddenly suspended and even affected my connected Facebook account. It’s frustrating to lose access to personal memories, messages, and connections because of what seems to be a mistake with no fair support process. Many users are experiencing the same issue and deserve real assistance.",1,-0.06999999999999999,Negative
🖤🖤🖤,5,0.0,Neutral
excellent app 👌🏿,5,1.0,Positive
thanks you Instagram 50k complete,5,0.15000000000000002,Positive
very good app,5,0.9099999999999999,Positive
I love it,5,0.5,Positive
❤️👍,5,0.0,Neutral
تبنيد بظلم,3,0.0,Neutral
Instagram removed my comments cause I identify as a frying pan 😔 disappointed,4,-0.75,Negative
Instagram Na mara accha Account ko bhi suspended kiya .. aur mara jitni id the Shara suspended kar diya hai .. bewajah account ko suspend kar raha hai Instagram..,1,0.0,Neutral
"Why did you suspend my Insta ID, What mistake did I make that my ID was suspended? You guys, my ID is still in u suspended .",1,0.0,Neutral
insta Good,5,0.7,Positive
i am very disappointed with this app. Instagram is banning accounts without any warning and without any reason. This is my request to fix this if it is a bug or if it is not a bug so please don't do this to the users. if anyone wants to hide ita identity due to some reasons then what's the problem in that. My 10 accounts are banned with integrity i haven't done anything wrong with those accounts. this is my humble request to Instagram team not to do this again with users.,1,-0.32,Negative
good,4,0.7,Positive
no follow my account,1,0.0,Neutral
"this app is cool but we users need a profile view function also notification that can tell us who unfollow or remove us from following list just as u let us know who follow us, like come on be more useful i mean of course i appreciate how this app helps me and i enjoy it but be more update full with things that help ur users ,,be more functional",3,0.2875,Positive
best for couples,5,1.0,Positive
स्टाइलिश जावेद लाल,5,0.0,Neutral
nice app,5,0.6,Positive
it's fame,5,0.0,Neutral
very good,5,0.9099999999999999,Positive
improve data security instead of unnecessary features,1,-0.4,Negative
i liket,5,0.0,Neutral
thankyou instgram,5,0.0,Neutral
عالیه,3,0.0,Neutral
nice experience,4,0.6,Positive
this is not fair instagram...my account was suspended yesterday even I appealed then uploaded my id then again uploaded my adhar still doesn't get my account back...there was restrictions on my acc that I can't go live or attend it for 365 days and I was fully following it ..then why suspended my acc why not them Those are fully uploading ai and vulgur stuffs..spreading vulgarity...u are supporting them and suspending our accounts even after following community guidelines ..this is not fair😭😭,1,0.007272727272727275,Positive
best,5,1.0,Positive
my experience with Instagram is perfect I love it meet new friends and learn different things on Instagram,5,0.40909090909090906,Positive
good app,5,0.7,Positive
give me the latest version of instagram I don't got the latest version.,2,0.5,Positive
uninstall !!!!!!!!,1,0.0,Neutral
good,5,0.7,Positive
"it's really amazing app for reals short videos, vibs",5,0.30000000000000004,Positive
super,5,0.3333333333333333,Positive
best app,5,1.0,Positive
I'm addicted... yay...,3,-0.4,Negative
fantastic,4,0.4,Positive
mera followers badado,5,0.0,Neutral
worsttttt ever!! without any reason... mah ids got suspended,1,0.0,Neutral
best,5,1.0,Positive
good 👍🏻👍🏻,5,0.7,Positive
good,5,0.7,Positive
best use for popularity in the world,5,1.0,Positive
به امید روزی که ما ایرانی ها هم بتونیم ازش بدون محدودیت استفاده کنیم 🙂🙂🙃🙃,5,0.0,Neutral
this is best 😄😊 app,5,1.0,Positive
fecebook,5,0.0,Neutral
I mean it's perfect it perfect,5,0.5625,Positive
wonderful,5,1.0,Positive
🙂,3,0.0,Neutral
restyle option is not showing on my Instagram story,1,0.0,Neutral
amezing,5,0.0,Neutral
not getting some new features 😕,4,0.13636363636363635,Positive
Great,5,0.8,Positive
excellent,5,1.0,Positive
best social media platform it's is easy connect to people with really good,3,0.5416666666666667,Positive
@ktm.390.rahulk. 10k it suspended,2,0.0,Neutral
super in an i.maxxa__,5,0.3333333333333333,Positive
best for wasting your best time,1,1.0,Positive
Super,4,0.3333333333333333,Positive
kind of useless application . it waste my lot of time on buzz reel scrolling and fake ads or fake pramotion . i prefer not to download again either uninstall now ..,2,-0.22000000000000003,Negative
"the fact that we see more suggested content and people than the people we follow is insane. reels are so glitch to post, and the limit on hashtags is so stupid.",1,-0.4333333333333333,Negative
besrese,5,0.0,Neutral
it's very easy to navigate,5,0.5633333333333334,Positive
amazing experience 🌟,4,0.6000000000000001,Positive
"I've been experiencing major technical issues with Instagram lately. My account was suspended yesterday, and while I attempted to appeal the decision,I never received the verification code in my email. Thinking it might refresh the session, I logged out, but now I'm completely locked out. Even the 'forgotten password route fails, showing 'unable to log in, please try again later.' This is incredibly frustrating. Please lookinto these login bugs and fix this as soon as possible.username jit_flexx",1,-0.1921875,Negative
I genuinely dont understand the thought process behind adding new features nobody ever asked for,1,0.04545454545454545,Positive
instagrame suspend my acount without any 😠😠,5,0.0,Neutral
because this app suspend my account 😭,1,0.0,Neutral
WHY DID IT TAKE AWAY MY ABILITY TO SEND IMAGES,2,0.0,Neutral
wow,2,0.1,Positive
best for all,5,1.0,Positive
"please bring back the mute reel feature, please we beg you",4,0.0,Neutral
Asomt rain,5,0.0,Neutral
mein ye ek star bhi nhi dena chahta hu kyo ki bina rijan se meri I'd suspend kar di hai instagram ne or mene bohot koshish ki hai wapas chalu karne ki but mera account nhi opan ho raha hai bohot video bhi dekh li but open nhi ho Raha hai...?,1,0.0,Neutral
restyle feature is not working ! bad service,1,-0.6999999999999998,Negative
Nice app,5,0.6,Positive
I like this app it's 🥰,5,0.0,Neutral
stop suspending my account 😡,5,0.0,Neutral
👍,5,0.0,Neutral
Ok naman,5,0.5,Positive
I recently had my Instagram account permanently disabled without a clear reason and without the option to review the decision. I had important personal photos and memories on that account. I believe this may be a mistake and I would really appreciate if the account could be reviewed and restored. The lack of clear explanation makes the experience very frustrating for users i wish they asked for at least a video or any form of id to bring back my accs with lots of memories leading back to 2018.,1,-0.020000000000000004,Negative
instagram is very disappointing my 7 accounts were suspended in 2 weeks for no reason of there there is something unusual you fond in my account then pls inform but suspending for no reason is not a good thing it is really shameful for you . *f you can operate then pls close entire app . Will be glad if you do so,1,-0.03833333333333333,Negative
social media in public 🔥🔥,5,0.016666666666666666,Positive
All my account get banded without reason,1,0.0,Neutral
good,5,0.7,Positive
"Letrelly the app Instagram is spoiling our culture our moral values, spoiling the future of teenagers. 100% of so called social Enfluencers spreading wrong messages to our society for few views and likes. actually all the Elitrate presong have a Instagram account for spreading wrong messages for relationship, wrong messages for our culture and society.",1,-0.20833333333333334,Negative
"devilbacha07 1w Dear Instagram Team, my account (@priyanshiiirao5 has been deactivated. 563 I believe this is a mistake as I have always followed all community guidelines and terms of service. I request you to please review my account and reactivate it as soon as possible. Thank you for your time and assistance",5,0.0,Neutral
so good,5,0.7,Positive
very poor app do not download,1,-0.52,Negative
this app is crazy I don't like it's working,1,-0.6,Negative
mare ma nickname ka nwe opsilan nhe aa rha mare id ka name abhishek_freefire_99,1,0.0,Neutral
it is more efficient and we can hold in other privacy and other accountability and it's a good app contact express it in words,5,0.2375,Positive
Awesome ⭐⭐⭐⭐⭐,5,1.0,Positive
too many glitches in this third class app,1,0.25,Positive
બહુત મસ્ત,5,0.0,Neutral
vinod Kumar,1,0.0,Neutral
my id is suspend,5,0.0,Neutral
best app,5,1.0,Positive
💫,5,0.0,Neutral
keep your go just updated,5,0.0,Neutral
🥰,5,0.0,Neutral
this is a good app but some new updates are not coming in my phone and they are also not providing update option of my instagram,3,0.41818181818181815,Positive
perfecttt,5,0.0,Neutral
it's good but old Instagram was best,3,0.6,Positive
rajsonkar 100k,4,0.0,Neutral
