content,score,sentiment,sentiment_label
super,5,0.3333333333333333,Positive
"Instagram is useless, it's suspending everyone's account unnecessarily. My 7-year-old account was suspended, and all the accounts I created have also been suspended. If Instagram can suspend its own downloader's account, then it's not right to trust Instagram. Or if the Instagram teams members don't unsuspend my account, then Instagram is not worthy of keeping privacy safe. my request to instagram team members unsuspended my account, (@insta_ziaul)",1,-0.018253968253968262,Negative
not working properly,1,0.0,Neutral
just love the app!!!,5,0.9765625,Positive
super app,5,0.3333333333333333,Positive
Best app,5,1.0,Positive
best 👌,5,1.0,Positive
nice app,1,0.6,Positive
my account has been suspended why instgram 😭😡,1,0.0,Neutral
good experience,4,0.7,Positive
"​My account was deactivated for unknown reasons. I submitted an appeal and was told to wait until May 5th for a response. It is now May 16th, and I still have received no information or updates regarding my account status. Please address this delay and restore my access.",2,-0.1,Negative
matlab alaghi level ka app hai,5,0.0,Neutral
🤌🏻,5,0.0,Neutral
op,5,0.0,Neutral
very nice,3,0.78,Positive
nice 👍,5,0.6,Positive
Mera Instagram suspend ho chuka hai,1,0.0,Neutral
meta suspend my acc for no reason bruh i hate ittt,1,-0.8,Negative
nice👍🏻💗,5,0.0,Neutral
"I love you, Instagram, so much! You're a truly amazing app!",5,0.5,Positive
i have use this app in 5 years but this app is iam created new account but my devices to insta account forgot password to say but I click forgot password but insta response to me something went not open my account my email login account example ipad this so very unfair and this is worst 😡👎 response to me,1,-0.3784090909090909,Negative
horrible nowadays nothing is working messages are disappearing and i gotta delete the whole app and download it back again just to see older messages,2,-0.15833333333333335,Negative
good,4,0.7,Positive
It has it's troubles at times but overall great🫰🏾,4,0.0,Neutral
It's not working well.,2,0.0,Neutral
"bad app, bcz she did not use .",1,-0.6999999999999998,Negative
"Subject: Wrongful Account Suspension and Device Login Issue Hello Instagram Support Team, I am facing a serious issue with Instagram for several days. My accounts are getting suspended or restricted even when I am not violating any community guidelines. I have already tried: reinstalling the app, clearing cache and data, changing networks, using different accounts, waiting for many days without activity, and troubleshooting my device completely. Despite this, new accounts are also getting ban",1,0.033766233766233764,Positive
very good app,5,0.9099999999999999,Positive
good,5,0.7,Positive
🥰🥰🥰🥰waw,5,0.0,Neutral
😀😈,5,0.0,Neutral
it's very useful.,4,0.39,Positive
your ig is trashh,1,0.0,Neutral
i really enjoy the app it allows me to connect with people,5,0.4,Positive
Very nice,5,0.78,Positive
mare video million people tak pahuchane par madad karo,5,0.0,Neutral
It's a good app if you're board and need some dopamine,4,0.7,Positive
It is totally beautiful,5,0.85,Positive
best app,5,1.0,Positive
my account this is rik ar please,5,0.0,Neutral
Very useless,1,-0.65,Negative
👍,5,0.0,Neutral
best app ever,5,1.0,Positive
Super app this is helpfull,5,0.3333333333333333,Positive
"Instagram Not very good. My account has been suspended for no reason and whenever I open an account, those accounts are being suspended again and again. So please, don't download Instagram.",1,-0.13461538461538458,Negative
Everything runs smoothly all the time when using this app,5,0.4,Positive
i cant send picssss,3,0.0,Neutral
waste of time yes wastage,5,-0.2,Negative
my favourite app,5,0.0,Neutral
my many accounts are suspended 😔,1,0.5,Positive
nice.have no words,5,0.0,Neutral
"I have been locked out from my own account and it doesn't let me in no matter how I try. I tried resetting my password, reinstalled the app quite a few times, it doesn't even accept the updated password nor the verification code. I can log in from the website but the app doesn't let me, been waiting for more than 24 hours now but it still doesn't work. FYI, I even deleted the folders from the internal storage. Very frustrated!",1,-0.020000000000000018,Negative
Good,4,0.7,Positive
good app,5,0.7,Positive
something went wrong,3,-0.5,Negative
"I was using Instagram normally with no issues, and suddenly I couldn’t log into two of my accounts. One got disabled without a clear reason, and both accounts had their passwords changed unexpectedly. The appeal process is slow and gives no updates, and the login/recovery system is buggy, it sometimes logs into the wrong account or shows errors. For such a large platform, the lack of proper support and reliable account recovery is extremely frustrating.""",1,-0.07597402597402599,Negative
good,5,0.7,Positive
"There’s no point in posting content on Instagram anymore. They ended my 6 months of hard work in one moment by disabling my Instagram account 😭😭.. Don’t download it, otherwise you’ll regret it for life 🥺😫 I’ve submitted so many appeals, but nothing is happening.. They suspended my 2 main accounts even though I didn’t do anything wrong 🥹🥺",1,-0.03125,Negative
good,5,0.7,Positive
nice,5,0.6,Positive
suspended my old id i hate instagram,1,-0.35000000000000003,Negative
remove instinct option new update,1,0.13636363636363635,Positive
niceeee,5,0.0,Neutral
sonukaloudi,2,0.0,Neutral
niklo instagram walo sab ki is ban kar ne me tum sab ko mja a rha ho ga dallo,5,0.0,Neutral
free time timepass,5,0.4,Positive
why I can't access my Instagram without any reason so irritating,1,-0.4,Negative
best,1,1.0,Positive
it is nice app,5,0.6,Positive
very very bad,1,-0.9099999999999998,Negative
good,5,0.7,Positive
This app not open,5,0.0,Neutral
jindgi barbad app,1,0.0,Neutral
updated karne ke baad bhi call nahi ho raha baar baar update mang raha,1,0.0,Neutral
add a Snapchat filter and filter name is vivid Azar snap filter,1,0.125,Positive
best aapp,5,1.0,Positive
it's good,5,0.7,Positive
it was delightful,4,1.0,Positive
isse accha platform aaj tak nahi aaya or ye godi Media se kai gunaah behtar h 🤭,5,0.0,Neutral
amazing 😍 experience,5,0.6000000000000001,Positive
❤️❤️❤️❤️ good,5,0.7,Positive
nice app,5,0.6,Positive
Nice App,5,0.6,Positive
"my repost ""drop an emoji"" isn't working well its hanging.. very 👎🏻",1,0.2,Positive
I love instagram 💘,5,0.5,Positive
I am not able to see this application on my phone. Nor am I able to uninstall the application. I mean what kind of joke is this.,1,0.134375,Positive
"Dear Instagram Team, my account (yourusername) has been deactivated. I believe this is a mistake as I have always followed all community guidelines and terms of service. I request you to please review my account and reactivate it as soon as possible. Thank you for your time and assistance.""",4,0.0,Neutral
"Hi Instagram, I want my ID back please..🥺Instagram help me, you did not do well, you suspended my ID, I was using my ID for 4 years, still you suspended my ID Please give me my ID back.. give me my ID on Instagram. My ID is aashish_vaishnav..🥺😭",5,0.0,Neutral
good 👍,4,0.7,Positive
very bad,5,-0.9099999999999998,Negative
"I am incredibly disappointed and furious with Instagram. Out of nowhere, they permanently disabled my account for absolutely no reason. I haven’t violated a single community guideline, yet my entire digital footprint has been wiped out instantly. This isn't just an app; it’s a platform where people store years of memories, connect with loved ones, and build businesses. By arbitrarily shutting down accounts without giving a proper explanation or any real way to appeal, they are literally playing",1,-0.03974867724867725,Negative
Kiss,5,0.0,Neutral
"worst experience unnecessary banned my account I didn't do anything against community still ban 😭 even new accounts getting banned what should I do now , plz fix this issue",1,-0.4212121212121212,Negative
"udh cape scroll foto, pas dipnct malah ga kekirim",1,0.0,Neutral
nice app,5,0.6,Positive
why my reels on feeds can't open full screen? my phone is poco f7,5,0.175,Positive
naic aap 👍🏻,5,0.0,Neutral
bad,1,-0.6999999999999998,Negative
nice,5,0.6,Positive
